unicode	汉字	频率	旧频率	拼音
\u670d	服	4634	4634	fu
\u82cf	苏	4634	4634	su
\u5956	奖	4629	4629	jiang
\u5175	兵	4611	4611	bing
\u586b	填	4606	4606	tian
\u6f14	演	4606	4606	yan
\u767e	百	4588	4588	bai
\u82f1	英	4588	4588	ying
\u5634	嘴	4583	4583	zui
\u822c	般	4577	4577	ban
\u6316	挖	4566	4566	wa
\u51c6	准	4543	4543	zhun
\u4fdd	保	4532	4532	bao
\u679c	果	4532	4532	guo
\u786c	硬	4526	4526	ying
\u51e1	凡	4520	4520	fan
\u5bd2	寒	4520	4520	han
\u6311	挑	4515	4515	tiao
\u5510	唐	4509	4509	tang
\u83ab	莫	4509	4509	mo
\u9e21	鸡	4509	4509	ji
\u590f	夏	4503	4503	xia
\u5bc4	寄	4492	4492	ji
\u8a00	言	4470	4470	yan
\u95f9	闹	4470	4470	nao
\u9632	防	4470	4470	fang
\u7adf	竟	4453	4453	jing
\u7eaf	纯	4448	4448	chun
\u8ddd	距	4448	4448	ju
\u9898	题	4442	4442	ti
\u5b98	官	4437	4437	guan
\u4f59	余	4431	4431	yu
\u6e90	源	4426	4426	yuan
\u8857	街	4420	4420	jie
\u5ea7	座	4409	4409	zuo
\u53e4	古	4404	4404	gu
\u601d	思	4404	4404	si
\u5220	删	4393	4393	shan
\u4eae	亮	4387	4387	liang
\u706f	灯	4376	4376	deng
\u7a77	穷	4376	4376	qiong
\u90ed	郭	4365	4365	guo
\u620f	戏	4360	4387	hu/xi
\u6865	桥	4360	4360	qiao
