NO	PHRASE	DPIWN	TDPIWN	PERCENT	TPERCENT	JDICT
529	比賽	181	440378	0.02389023	58.12558076	*
530	動	181	440559	0.02389023	58.14947099	*
531	極	181	440740	0.02389023	58.17336122	*
532	算式	181	440921	0.02389023	58.19725145	
533	是不是	180	441101	0.02375824	58.22100969	
534	記錄	180	441281	0.02375824	58.24476793	*
535	精神	179	441460	0.02362625	58.26839418	*
536	大小	178	441638	0.02349426	58.29188844	*
537	百	177	441815	0.02336227	58.31525071	*
538	進入	177	441992	0.02336227	58.33861298	*
539	一會兒	176	442168	0.02323028	58.36184326	*
540	表現	176	442344	0.02323028	58.38507354	*
541	遠	176	442520	0.02323028	58.40830382	*
542	以前	175	442695	0.02309829	58.43140211	*
543	忙	175	442870	0.02309829	58.45450040	*
544	感覺	175	443045	0.02309829	58.47759869	*
545	完全	174	443219	0.02296629	58.50056498	*
546	遊戲	174	443393	0.02296629	58.52353127	*
547	不久	173	443566	0.02283430	58.54636557	*
548	發明	173	443739	0.02283430	58.56919987	*
549	上面	171	443910	0.02257032	58.59177019	*
550	生命	171	444081	0.02257032	58.61434051	*
551	深	171	444252	0.02257032	58.63691083	*
552	睡	171	444423	0.02257032	58.65948115	*
553	辛苦	170	444593	0.02243833	58.68191948	*
554	教室	170	444763	0.02243833	58.70435781	*
555	造成	170	444933	0.02243833	58.72679614	*
556	稱為	170	445103	0.02243833	58.74923447	
557	人民	169	445272	0.02230634	58.77154081	*
558	知	169	445441	0.02230634	58.79384715	*
559	倒	169	445610	0.02230634	58.81615349	*
560	選	169	445779	0.02230634	58.83845983	*
561	方向	168	445947	0.02217435	58.86063418	*
562	有些	168	446115	0.02217435	58.88280853	
563	某	168	446283	0.02217435	58.90498288	*
564	家長	168	446451	0.02217435	58.92715723	*
565	陽光	168	446619	0.02217435	58.94933158	*
566	月亮	167	446786	0.02204236	58.97137394	*
567	文化	167	446953	0.02204236	58.99341630	*
568	奇怪	167	447120	0.02204236	59.01545866	*
569	裝	167	447287	0.02204236	59.03750102	*
570	附近	166	447453	0.02191037	59.05941139	*
571	哥哥	166	447619	0.02191037	59.08132176	*
572	設計	166	447785	0.02191037	59.10323213	*
573	傳統	166	447951	0.02191037	59.12514250	*
574	當然	166	448117	0.02191037	59.14705287	*
575	種子	166	448283	0.02191037	59.16896324	*
