字頻序號,字,部首,筆畫,出現頻次,累積頻次,累積百分比
2378,伙,人,06,20,992877,98.70965625
2379,舟,舟,06,20,992897,98.71164461
2380,尬,尢,07,20,992917,98.71363297
2381,芝,艸,08,20,992937,98.71562132
2382,芽,艸,08,20,992957,98.71760968
2383,俯,人,10,20,992977,98.71959803
2384,娟,女,10,20,992997,98.72158639
2385,宰,??,10,20,993017,98.72357475
2386,挾,手,10,20,993037,98.72556310
2387,挽,手,10,20,993057,98.72755146
2388,栽,木,10,20,993077,98.72953981
2389,桐,木,10,20,993097,98.73152817
2390,殷,殳,10,20,993117,98.73351653
2391,笨,竹,11,20,993137,98.73550488
2392,蛇,虫,11,20,993157,98.73749324
2393,壺,士,12,20,993177,98.73948160
2394,棕,木,12,20,993197,98.74146995
2395,逮,??,12,20,993217,98.74345831
2396,媳,女,13,20,993237,98.74544666
2397,瑕,玉,13,20,993257,98.74743502
2398,嗽,口,14,20,993277,98.74942338
2399,髦,髟,14,20,993297,98.75141173
2400,稽,禾,15,20,993317,98.75340009
2401,窺,穴,16,20,993337,98.75538845
2402,尷,尢,17,20,993357,98.75737680
2403,竄,穴,18,20,993377,98.75936516
2404,贖,貝,22,20,993397,98.76135351
2405,井,二,04,19,993416,98.76324245
2406,玄,玄,05,19,993435,98.76513139
2407,矛,矛,05,19,993454,98.76702033
2408,吊,口,06,19,993473,98.76890927
2409,夷,大,06,19,993492,98.77079821
2410,沛,水,07,19,993511,98.77268714
2411,芒,艸,07,19,993530,98.77457608
2412,虐,虍,09,19,993549,98.77646502
2413,凍,??,10,19,993568,98.77835396
2414,梳,木,10,19,993587,98.78024290
2415,狼,犬,10,19,993606,98.78213184
2416,矩,矢,10,19,993625,98.78402077
2417,秤,禾,10,19,993644,98.78590971
2418,辱,辰,10,19,993663,98.78779865
2419,庸,??,11,19,993682,98.78968759
2420,彬,??,11,19,993701,98.79157653
2421,覓,見,11,19,993720,98.79346547
2422,奠,大,12,19,993739,98.79535440
2423,慨,心,12,19,993758,98.79724334
2424,椒,木,12,19,993777,98.79913228
2425,毯,毛,12,19,993796,98.80102122
2426,渥,水,12,19,993815,98.80291016
2427,渾,水,12,19,993834,98.80479910
2428,韌,韋,12,19,993853,98.80668803
2429,廈,??,13,19,993872,98.80857697
2430,嘲,口,15,19,993891,98.81046591
2431,趟,走,15,19,993910,98.81235485
2432,踩,足,15,19,993929,98.81424379
2433,鋪,金,15,19,993948,98.81613273
2434,糕,米,16,19,993967,98.81802167
2435,錶,金,16,19,993986,98.81991060
2436,霍,雨,16,19,994005,98.82179954
2437,澀,水,17,19,994024,98.82368848
2438,餵,食,17,19,994043,98.82557742
2439,軀,身,18,19,994062,98.82746636
